month,state,permit,handgun,long_gun,other,Total Sales,Year,Month
2023-09,Alabama,10342,15421,12848,1156,29425,2023,Sep
2023-09,Alaska,188,2429,2543,262,5234,2023,Sep
2023-09,Arizona,9113,14398,8239,1575,24212,2023,Sep
2023-09,Arkansas,2139,5645,6108,437,12190,2023,Sep
2023-09,California,28611,33792,20548,4295,58635,2023,Sep
2023-09,Colorado,7012,16429,12217,1475,30121,2023,Sep
2023-09,Connecticut,6120,4723,1797,350,6870,2023,Sep
2023-09,Delaware,177,1608,1039,76,2723,2023,Sep
2023-09,District of Columbia,674,202,15,0,217,2023,Sep
2023-09,Florida,8399,51223,20945,4528,76696,2023,Sep
2023-09,Georgia,10171,14264,9395,930,24589,2023,Sep
2023-09,Guam,0,140,77,13,230,2023,Sep
2023-09,Hawaii,1685,0,0,0,0,2023,Sep
2023-09,Idaho,3325,4475,5422,451,10348,2023,Sep
2023-09,Illinois,191538,19675,10357,786,30818,2023,Sep
2023-09,Indiana,366,16104,11963,1480,29547,2023,Sep
2023-09,Iowa,3030,2027,2936,123,5086,2023,Sep
2023-09,Kansas,1572,4738,5289,627,10654,2023,Sep
2023-09,Kentucky,509,8369,7610,472,16451,2023,Sep
2023-09,Louisiana,1586,9390,10164,746,20300,2023,Sep
2023-09,Maine,317,3096,4646,303,8045,2023,Sep
2023-09,Mariana Islands,0,6,9,0,15,2023,Sep
2023-09,Maryland,8624,6291,5594,105,11990,2023,Sep
2023-09,Massachusetts,7758,4306,2586,1066,7958,2023,Sep
2023-09,Michigan,15744,16471,16313,1647,34431,2023,Sep
2023-09,Minnesota,10882,8341,14133,827,23301,2023,Sep
2023-09,Mississippi,2375,6519,6247,402,13168,2023,Sep
2023-09,Missouri,923,15275,14310,1627,31212,2023,Sep
2023-09,Montana,873,3871,5447,334,9652,2023,Sep
2023-09,Nebraska,3634,112,1625,17,1754,2023,Sep
2023-09,Nevada,2282,3967,2074,327,6368,2023,Sep
2023-09,New Hampshire,1021,4966,3106,443,8515,2023,Sep
2023-09,New Jersey,0,6157,3372,835,10364,2023,Sep
2023-09,New Mexico,1317,5733,3873,503,10109,2023,Sep
2023-09,New York,3555,10511,14257,1318,26086,2023,Sep
2023-09,North Carolina,10456,20144,11064,1167,32375,2023,Sep
2023-09,North Dakota,383,1508,3088,122,4718,2023,Sep
2023-09,Ohio,6841,18621,14068,1400,34089,2023,Sep
2023-09,Oklahoma,2833,9595,8238,1155,18988,2023,Sep
2023-09,Oregon,4884,11690,9902,1684,23276,2023,Sep
2023-09,Pennsylvania,25921,35055,19948,26,55029,2023,Sep
2023-09,Puerto Rico,0,3458,332,41,3831,2023,Sep
